,COP NEEP 50,,,,,,,,,,,
165,2.864799999,,,,,,,,,,,
166,2.957199999,,,,,,,,,,,
167,3.0076,,,,,,,,,,,
168,2.957199999,,,,,,,,,,,
169,2.957199999,,,,,,,,,,,
170,2.957199999,,,,,,,,,,,
171,3.0496,,,,,,,,,,,
172,3.1,,,,,,,,,,,
173,3.1504,,,,,,,,,,,
174,3.1924,,,,,,,,,,,
175,3.1924,,,,,,,,,,,
176,3.1924,,,,,,,,,,,
177,3.242800001,,,,,,,,,,,
178,3.284800001,,,,,,,,,,,
179,3.242800001,,,,,,,,,,,
180,3.284800001,,,,,,,,,,,
181,3.335200001,,,,,,,,,,,
182,3.335200001,,,,,,,,,,,
183,3.335200001,,,,,,,,,,,
184,3.284800001,,,,,,,,,,,
185,3.242800001,,,,,,,,,,,
186,3.1924,,,,,,,,,,,
187,3.1504,,,,,,,,,,,
188,3.1,,,,,,,,,,,
189,3.0496,,,,,,,,,,,
190,3.0496,,,,,,,,,,,
191,2.957199999,,,,,,,,,,,
192,2.957199999,,,,,,,,,,,
193,2.915199999,,,,,,,,,,,
194,2.822799999,,,,,,,,,,,
195,2.772399999,,,,,,,,,,,
196,2.864799999,,,,,,,,,,,
197,2.822799999,,,,,,,,,,,
198,2.864799999,,,,,,,,,,,
199,2.915199999,,,,,,,,,,,
200,2.957199999,,,,,,,,,,,
201,3.0496,,,,,,,,,,,
202,3.1504,,,,,,,,,,,
203,3.1924,,,,,,,,,,,
204,3.242800001,,,,,,,,,,,
205,3.335200001,,,,,,,,,,,
206,3.242800001,,,,,,,,,,,
207,3.242800001,,,,,,,,,,,
208,3.1924,,,,,,,,,,,
209,3.0496,,,,,,,,,,,
210,3.0496,,,,,,,,,,,
211,3.0496,,,,,,,,,,,
212,3.0496,,,,,,,,,,,
213,3.0496,,,,,,,,,,,
214,3.0496,,,,,,,,,,,
215,3.0496,,,,,,,,,,,
216,3.0076,,,,,,,,,,,
217,2.915199999,,,,,,,,,,,
218,2.864799999,,,,,,,,,,,
219,2.864799999,,,,,,,,,,,
220,2.822799999,,,,,,,,,,,
221,2.822799999,,,,,,,,,,,
222,2.822799999,,,,,,,,,,,
223,2.915199999,,,,,,,,,,,
224,3.0076,,,,,,,,,,,
225,3.0496,,,,,,,,,,,
226,3.1504,,,,,,,,,,,
227,3.1924,,,,,,,,,,,
228,3.242800001,,,,,,,,,,,
229,3.335200001,,,,,,,,,,,
230,3.427600001,,,,,,,,,,,
231,3.427600001,,,,,,,,,,,
232,3.469600001,,,,,,,,,,,
233,3.469600001,,,,,,,,,,,
234,3.570400002,,,,,,,,,,,
235,3.520000002,,,,,,,,,,,
236,3.612400002,,,,,,,,,,,
237,3.704800002,,,,,,,,,,,
238,3.662800002,,,,,,,,,,,
239,3.662800002,,,,,,,,,,,
240,3.662800002,,,,,,,,,,,
241,3.755200003,,,,,,,,,,,
242,3.940000003,,,,,,,,,,,
243,3.940000003,,,,,,,,,,,
244,3.889600003,,,,,,,,,,,
245,3.847600003,,,,,,,,,,,
246,3.889600003,,,,,,,,,,,
247,3.990400004,,,,,,,,,,,
248,3.889600003,,,,,,,,,,,
249,3.940000003,,,,,,,,,,,
250,4.032400004,,,,,,,,,,,
251,4.175200004,,,,,,,,,,,
252,4.217200004,,,,,,,,,,,
253,4.175200004,,,,,,,,,,,
254,4.217200004,,,,,,,,,,,
255,4.175200004,,,,,,,,,,,
256,4.082800004,,,,,,,,,,,
257,4.082800004,,,,,,,,,,,
258,4.032400004,,,,,,,,,,,
259,4.082800004,,,,,,,,,,,
260,4.175200004,,,,,,,,,,,
261,4.175200004,,,,,,,,,,,
262,4.175200004,,,,,,,,,,,
263,4.124800004,,,,,,,,,,,
264,4.124800004,,,,,,,,,,,
265,4.082800004,,,,,,,,,,,
266,4.124800004,,,,,,,,,,,
267,4.032400004,,,,,,,,,,,
268,3.889600003,,,,,,,,,,,
269,3.662800002,,,,,,,,,,,
270,3.520000002,,,,,,,,,,,
271,3.242800001,,,,,,,,,,,
272,3.1,,,,,,,,,,,
273,2.915199999,,,,,,,,,,,
274,2.864799999,,,,,,,,,,,
275,2.772399999,,,,,,,,,,,
276,2.730399999,,,,,,,,,,,
277,2.679999998,,,,,,,,,,,
278,2.587599998,,,,,,,,,,,
279,2.587599998,,,,,,,,,,,
280,2.537199998,,,,,,,,,,,
281,2.537199998,,,,,,,,,,,
282,2.495199998,,,,,,,,,,,
283,2.444799997,,,,,,,,,,,
284,2.402799997,,,,,,,,,,,
285,2.402799997,,,,,,,,,,,
286,2.372799999,,,,,,,,,,,
287,2.319999999,,,,,,,,,,,
288,2.291199999,,,,,,,,,,,
289,2.291199999,,,,,,,,,,,
290,2.291199999,,,,,,,,,,,
291,2.291199999,,,,,,,,,,,
292,2.267199999,,,,,,,,,,,
293,2.291199999,,,,,,,,,,,
294,2.267199999,,,,,,,,,,,
295,2.238399999,,,,,,,,,,,
296,2.267199999,,,,,,,,,,,
297,2.319999999,,,,,,,,,,,
298,2.402799997,,,,,,,,,,,
299,2.402799997,,,,,,,,,,,
300,2.495199998,,,,,,,,,,,
301,2.402799997,,,,,,,,,,,
